"ID","Group","times","rats","time","stdbprs","stdrats"
"1","1","WD1",240,1,-1.00114290298173,-1.00114290298173
"2","1","WD1",225,1,-1.12038573013588,-1.12038573013588
"3","1","WD1",245,1,-0.961395293930349,-0.961395293930349
"4","1","WD1",260,1,-0.842152466776197,-0.842152466776197
"5","1","WD1",255,1,-0.881900075827581,-0.881900075827581
"6","1","WD1",260,1,-0.842152466776197,-0.842152466776197
"7","1","WD1",275,1,-0.722909639622045,-0.722909639622045
"8","1","WD1",245,1,-0.961395293930349,-0.961395293930349
"9","2","WD1",410,1,0.350275804765321,0.350275804765321
"10","2","WD1",405,1,0.310528195713937,0.310528195713937
"11","2","WD1",445,1,0.628509068125008,0.628509068125008
"12","2","WD1",555,1,1.50295646725545,1.50295646725545
"13","3","WD1",470,1,0.827247113381928,0.827247113381928
"14","3","WD1",535,1,1.34396603104992,1.34396603104992
"15","3","WD1",520,1,1.22472320389577,1.22472320389577
"16","3","WD1",510,1,1.145227985793,1.145227985793
"1","1","WD8",250,8,-0.961702645457333,-0.961702645457333
"2","1","WD8",230,8,-1.12324849666276,-1.12324849666276
"3","1","WD8",250,8,-0.961702645457333,-0.961702645457333
"4","1","WD8",255,8,-0.921316182655975,-0.921316182655975
"5","1","WD8",260,8,-0.880929719854617,-0.880929719854617
"6","1","WD8",265,8,-0.840543257053259,-0.840543257053259
"7","1","WD8",275,8,-0.759770331450544,-0.759770331450544
"8","1","WD8",255,8,-0.921316182655975,-0.921316182655975
"9","2","WD8",415,8,0.371050626987475,0.371050626987475
"10","2","WD8",420,8,0.411437089788833,0.411437089788833
"11","2","WD8",445,8,0.613369403795622,0.613369403795622
"12","2","WD8",560,8,1.54225804822685,1.54225804822685
"13","3","WD8",465,8,0.774915255001053,0.774915255001053
"14","3","WD8",525,8,1.25955280861735,1.25955280861735
"15","3","WD8",525,8,1.25955280861735,1.25955280861735
"16","3","WD8",510,8,1.13839342021327,1.13839342021327
"1","1","WD15",255,15,-0.922124220155201,-0.922124220155201
"2","1","WD15",230,15,-1.11832086274141,-1.11832086274141
"3","1","WD15",250,15,-0.961363548672444,-0.961363548672444
"4","1","WD15",255,15,-0.922124220155201,-0.922124220155201
"5","1","WD15",255,15,-0.922124220155201,-0.922124220155201
"6","1","WD15",270,15,-0.804406234603474,-0.804406234603474
"7","1","WD15",260,15,-0.882884891637959,-0.882884891637959
"8","1","WD15",260,15,-0.882884891637959,-0.882884891637959
"9","2","WD15",425,15,0.412012949431047,0.412012949431047
"10","2","WD15",430,15,0.45125227794829,0.45125227794829
"11","2","WD15",450,15,0.608209592017261,0.608209592017261
"12","2","WD15",565,15,1.51071414791384,1.51071414791384
"13","3","WD15",475,15,0.804406234603474,0.804406234603474
"14","3","WD15",530,15,1.23603884829314,1.23603884829314
"15","3","WD15",530,15,1.23603884829314,1.23603884829314
"16","3","WD15",520,15,1.15756019125866,1.15756019125866
"1","1","WD22",260,22,-0.938344395613435,-0.938344395613435
"2","1","WD22",232,22,-1.15866844657508,-1.15866844657508
"3","1","WD22",255,22,-0.9776879761423,-0.9776879761423
"4","1","WD22",265,22,-0.89900081508457,-0.89900081508457
"5","1","WD22",270,22,-0.859657234555705,-0.859657234555705
"6","1","WD22",275,22,-0.82031365402684,-0.82031365402684
"7","1","WD22",270,22,-0.859657234555705,-0.859657234555705
"8","1","WD22",268,22,-0.875394666767251,-0.875394666767251
"9","2","WD22",428,22,0.383599910156436,0.383599910156436
"10","2","WD22",440,22,0.478024503425712,0.478024503425712
"11","2","WD22",452,22,0.572449096694989,0.572449096694989
"12","2","WD22",580,22,1.57964475823394,1.57964475823394
"13","3","WD22",485,22,0.832116728185499,0.832116728185499
"14","3","WD22",533,22,1.20981510126261,1.20981510126261
"15","3","WD22",540,22,1.26489611400302,1.26489611400302
"16","3","WD22",515,22,1.06817821135869,1.06817821135869
"1","1","WD29",262,29,-0.945744730553296,-0.945744730553296
"2","1","WD29",240,29,-1.11637627599397,-1.11637627599397
"3","1","WD29",262,29,-0.945744730553296,-0.945744730553296
"4","1","WD29",265,29,-0.922476792538658,-0.922476792538658
"5","1","WD29",270,29,-0.883696895847595,-0.883696895847595
"6","1","WD29",275,29,-0.844916999156533,-0.844916999156533
"7","1","WD29",273,29,-0.860428957832958,-0.860428957832958
"8","1","WD29",270,29,-0.883696895847595,-0.883696895847595
"9","2","WD29",438,29,0.419307632972117,0.419307632972117
"10","2","WD29",448,29,0.496867426354243,0.496867426354243
"11","2","WD29",455,29,0.551159281721731,0.551159281721731
"12","2","WD29",590,29,1.59821649238043,1.59821649238043
"13","3","WD29",487,29,0.799350620544534,0.799350620544534
"14","3","WD29",535,29,1.17163762877874,1.17163762877874
"15","3","WD29",543,29,1.23368546348444,1.23368546348444
"16","3","WD29",530,29,1.13285773208767,1.13285773208767
"1","1","WD36",258,36,-0.979900717531057,-0.979900717531057
"2","1","WD36",240,36,-1.11663105020981,-1.11663105020981
"3","1","WD36",265,36,-0.926727810378209,-0.926727810378209
"4","1","WD36",268,36,-0.903939421598417,-0.903939421598417
"5","1","WD36",273,36,-0.865958773632097,-0.865958773632097
"6","1","WD36",277,36,-0.835574255259041,-0.835574255259041
